func_name;identity;result;runtime;driver;old_path;old_line;old_col;old_name;new_path;new_line;new_col;new_name
linux_get_device_address;True;NO_BODY;0:00:00.364461;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/linux_get_device_address_id.c;libusb/os/linux_usbfs.c;585;5;linux_get_device_address;libusb/os/linux_usbfs.c;585;5;linux_get_device_address
linux_get_parent_info;True;NO_BODY;0:00:00.364423;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/linux_get_parent_info_id.c;libusb/os/linux_usbfs.c;1023;12;linux_get_parent_info;libusb/os/linux_usbfs.c;1023;12;linux_get_parent_info
op_init;True;NO_BODY;0:00:00.364556;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/op_init_id.c;libusb/os/linux_usbfs.c;352;12;op_init;libusb/os/linux_usbfs.c;352;12;op_init
op_open;True;NO_BODY;0:00:00.364408;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/op_open_id.c;libusb/os/linux_usbfs.c;1391;12;op_open;libusb/os/linux_usbfs.c;1391;12;op_open
op_set_option;True;ERROR;0:00:00.113984;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/op_set_option_id.c;libusb/os/linux_usbfs.c;437;12;op_set_option;libusb/os/linux_usbfs.c;437;12;op_set_option
op_wrap_sys_device;True;NO_BODY;0:00:00.364462;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/op_wrap_sys_device_id.c;libusb/os/linux_usbfs.c;1341;12;op_wrap_sys_device;libusb/os/linux_usbfs.c;1341;12;op_wrap_sys_device
parse_configuration;True;NO_VCCS;0:00:00.464574;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/parse_configuration_id.c;libusb/descriptor.c;347;12;parse_configuration;libusb/descriptor.c;347;12;parse_configuration
parse_endpoint;True;SUCCESS;0:00:01.065847;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/parse_endpoint_id.c;libusb/descriptor.c;83;12;parse_endpoint;libusb/descriptor.c;83;12;parse_endpoint
parse_endpoint;False;SUCCESS;0:00:01.066415;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/parse_endpoint.c;libusb/descriptor.c;83;12;parse_endpoint;libusb/descriptor.c;83;12;parse_endpoint
reap_for_handle;True;NO_BODY;0:00:00.365438;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/reap_for_handle_id.c;libusb/os/linux_usbfs.c;2653;12;reap_for_handle;libusb/os/linux_usbfs.c;2653;12;reap_for_handle
submit_bulk_transfer;True;NO_BODY;0:00:00.364632;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/submit_bulk_transfer_id.c;libusb/os/linux_usbfs.c;1902;12;submit_bulk_transfer;libusb/os/linux_usbfs.c;1902;12;submit_bulk_transfer
submit_iso_transfer;True;NO_BODY;0:00:00.365529;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/submit_iso_transfer_id.c;libusb/os/linux_usbfs.c;2074;12;submit_iso_transfer;libusb/os/linux_usbfs.c;2074;12;submit_iso_transfer
sync_transfer_cb;None;VOID_RET;;;libusb/sync.c;35;25;sync_transfer_cb;libusb/sync.c;35;25;sync_transfer_cb
sysfs_get_device_list;True;NO_BODY;0:00:00.364483;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/sysfs_get_device_list_id.c;libusb/os/linux_usbfs.c;1272;12;sysfs_get_device_list;libusb/os/linux_usbfs.c;1272;12;sysfs_get_device_list
usbfs_get_device_list;True;NO_BODY;0:00:00.364428;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/usbfs_get_device_list_id.c;libusb/os/linux_usbfs.c;1225;12;usbfs_get_device_list;libusb/os/linux_usbfs.c;1225;12;usbfs_get_device_list
usbfs_scan_busdir;True;NO_BODY;0:00:00.364309;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/usbfs_scan_busdir_id.c;libusb/os/linux_usbfs.c;1185;12;usbfs_scan_busdir;libusb/os/linux_usbfs.c;1185;12;usbfs_scan_busdir
usbi_add_event_source;True;NO_VCCS;0:00:00.464708;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/usbi_add_event_source_id.c;libusb/io.c;2648;5;usbi_add_event_source;libusb/io.c;2648;5;usbi_add_event_source
usbi_handle_disconnect;None;VOID_RET;;;libusb/io.c;2780;6;usbi_handle_disconnect;libusb/io.c;2780;6;usbi_handle_disconnect
usbi_handle_transfer_cancellation;True;NO_VCCS;0:00:00.816011;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/usbi_handle_transfer_cancellation_id.c;libusb/io.c;1706;5;usbi_handle_transfer_cancellation;libusb/io.c;1706;5;usbi_handle_transfer_cancellation
usbi_handle_transfer_completion;True;NO_VCCS;0:00:00.616824;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/usbi_handle_transfer_completion_id.c;libusb/io.c;1658;5;usbi_handle_transfer_completion;libusb/io.c;1657;5;usbi_handle_transfer_completion
usbi_hotplug_process;None;VOID_RET;;;libusb/hotplug.c;271;6;usbi_hotplug_process;libusb/hotplug.c;271;6;usbi_hotplug_process
usbi_remove_event_source;None;VOID_RET;;;libusb/io.c;2672;6;usbi_remove_event_source;libusb/io.c;2672;6;usbi_remove_event_source
usbi_sanitize_device;True;SUCCESS;0:00:00.865366;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/usbi_sanitize_device_id.c;libusb/core.c;750;5;usbi_sanitize_device;libusb/core.c;753;5;usbi_sanitize_device
usbi_sanitize_device;False;SUCCESS;0:00:00.865108;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/usbi_sanitize_device.c;libusb/core.c;750;5;usbi_sanitize_device;libusb/core.c;753;5;usbi_sanitize_device
usbi_wait_for_events;True;FAILURE;0:00:00.815145;/home/jonas/.cache/euf/libusb-5d089e49/.harnesses/usbi_wait_for_events_id.c;libusb/os/events_posix.c;218;5;usbi_wait_for_events;libusb/os/events_posix.c;218;5;usbi_wait_for_events
